Номер    Начало         Сопротивления          Источник ЭДС    Источник тока 
ветви    -конец      R       XL       XC       мод.     арг.   мод.      агр. 
  1        51        0       56        0        0         0     0          0
  2        12        0       55       36        0         0     0          0
  3        26       85        0        0        0         0     0          0
  4        63        0       13       56        0         0     0          0
  5        34       94        0       25       98       355     0          0
  6        45       71        0        0        0         0     0          0
  7        13       89        0       18        0         0     0          0
  8        25        0       35        0        0         0     0          0

  
